Re,St,Cd
1124.79,0.24,0.79
149.5,0.18,1.09
819.05,0.19,0.85
62.2,0.18,1.18
2531.79,0.25,0.66
1424.32,0.19,0.79
589.54,0.2,0.89
1366.72,0.21,0.94
4085.64,0.23,0.69
903,0.2,0.92
3716.91,0.22,0.82
671.11,0.19,0.96
390.35,0.16,1.11
1296.21,0.23,0.85
2687.31,0.26,0.77
1364.77,0.17,1.04
271.04,0.19,1.05
71.8,0.12,1.33
397.36,0.19,1.08
1240.39,0.19,1.12
1256.39,0.21,0.93
876.3,0.17,1.05
3051.77,0.28,0.64
264.17,0.19,1.04
4781.72,0.23,0.65
2367.35,0.26,0.71
115.78,0.16,1.18
1081.45,0.19,1.09
2240.63,0.29,0.62
3422.81,0.25,0.72
2167.88,0.21,0.81
62.72,0.13,1.29
641.08,0.19,0.98
3102.03,0.22,0.83
87.49,0.13,1.21
549.9,0.18,1.02
1373.87,0.21,0.77
80.97,0.13,1.31
914.57,0.2,0.86
4302.06,0.23,0.72
1108.57,0.2,0.88
750.19,0.2,1.01
2556.37,0.2,0.82
337.03,0.15,1.08
2801.32,0.19,0.85
364.68,0.24,0.82
217.97,0.17,1.12
2498.27,0.28,0.59
1206.22,0.27,0.97
423.49,0.17,1.03
1933.48,0.26,0.98
4605.24,0.23,0.77
315.26,0.14,1.17
819.56,0.2,0.93
1272.32,0.19,0.9
504.27,0.21,0.92
49.97,0.15,1.26
137.33,0.19,1.1
1295.71,0.18,0.93
649.34,0.19,0.98
219.39,0.19,1.01
4166.53,0.23,0.75
3155.01,0.19,0.79
329.41,0.17,1.02
1413.61,0.2,0.89
3378.87,0.26,0.67
2147.4,0.2,0.77
306.77,0.18,1.1
925.57,0.2,0.89
166.74,0.19,1.07
3435.26,0.23,0.73
143.9,0.15,1.23
537.56,0.2,1
3112.86,0.21,0.81
243.36,0.17,1.11
988.33,0.18,1.09
2156.28,0.27,0.8
1637.38,0.2,0.87
116.63,0.14,1.19
1201.64,0.18,0.94
490.11,0.2,0.92
298.59,0.18,1.1
829.59,0.22,0.88
810.36,0.22,0.79
1309.73,0.19,0.8
2818.96,0.25,0.66
868.2,0.18,0.99
284.25,0.17,1.09
1027.85,0.18,1.06
112.74,0.19,1
221.31,0.15,1.17
242.8,0.18,1.08
4991.42,0.28,0.61
555.14,0.18,0.99
2336.46,0.2,0.83
2569.86,0.23,0.75
1165.02,0.19,0.95
390.77,0.15,1.09
3289.97,0.27,0.6
1427.44,0.2,0.79
694.77,0.21,0.88
1311.22,0.21,1.02
3070.91,0.2,0.88
457.97,0.24,0.99
2146.23,0.29,0.67
106.31,0.18,1.04
467.24,0.2,0.99
273.98,0.19,0.92
112.87,0.15,1.12
3104.94,0.22,0.85
1181.83,0.23,0.91
145.59,0.12,1.35
207.29,0.19,1.11
3172.87,0.24,0.67
317.34,0.18,1.04
3325.11,0.24,0.59
2882.16,0.21,0.79
408.51,0.19,0.95
85.46,0.14,1.31
115.41,0.16,1.03
364.76,0.18,1.01
141.47,0.18,1.07
2103.93,0.25,0.65
381.87,0.19,1.03
104.15,0.13,1.28
189.11,0.16,1.06
274.28,0.19,1
248.22,0.16,1.03
904.32,0.19,0.98
2121.3,0.24,0.77
4624.47,0.23,0.72
846.88,0.24,0.71
2084.07,0.24,0.69
256.65,0.2,0.99
65.29,0.18,1.18
577.88,0.21,0.95
2757.12,0.22,0.82
996.2,0.18,0.87
1374.11,0.26,0.75
82.49,0.18,1.17
88.99,0.16,1.2
50.48,0.17,1.22
1348.59,0.19,0.76
137.15,0.16,1.11
222.96,0.18,1.08
877.22,0.2,0.88
120.28,0.16,1.24
1081.15,0.26,0.75
68.12,0.16,1.22
2738.63,0.24,0.71
1424.14,0.2,0.88
260.15,0.14,1.15
3805.52,0.22,0.72
136.59,0.16,1.18
1276.06,0.23,0.94
876.99,0.17,1.01
3139.13,0.27,0.63
2611.39,0.26,0.54
1965.12,0.25,0.75
1468.13,0.22,0.93
3421.72,0.21,0.74
398.34,0.16,1.1
3163.37,0.26,0.76
1032.94,0.19,0.97
2131.48,0.25,0.73
364.54,0.19,1.05
1325.67,0.17,1.05
772.77,0.19,1.08
254.06,0.17,1.07
332.32,0.19,1.18
279.59,0.16,1.11
4545.47,0.23,0.7
1929.29,0.2,0.82
1490.37,0.22,0.86
100.32,0.17,1.19
4115.74,0.24,0.65
1833.93,0.25,0.59
869.06,0.21,0.86
80.47,0.15,1.23
782.72,0.2,0.86
123.07,0.14,1.23
4321.52,0.29,0.57
137.94,0.18,1.12
4394.81,0.26,0.67
3607.29,0.26,0.72
319.93,0.17,0.91
3852.04,0.22,0.73
106.81,0.13,1.26
550.06,0.17,0.99
33.34,0.16,1.22
338.88,0.16,1.1
25.67,0.14,1.32
517.2,0.23,0.86
591.1,0.21,0.93
137.76,0.15,1.25
1267.44,0.22,0.69
256.6,0.22,0.95
101.69,0.17,1.14
846.14,0.22,0.8
1168.63,0.21,0.86
380.66,0.22,1.03
1369.91,0.23,0.73
2811.67,0.26,0.63
3311.87,0.25,0.68
1396.96,0.22,0.9
2267.91,0.25,0.67
931.76,0.22,0.95
1445.81,0.23,0.61
889.96,0.21,0.95
898.6,0.2,0.98
448.53,0.21,0.94
2330.77,0.21,0.84
292.76,0.19,1.01
1363.68,0.18,0.94
3227.82,0.24,0.67
119.57,0.17,1.19
2074.37,0.24,0.68
588.8,0.17,0.98
4209.14,0.23,0.64
2585.28,0.23,0.77
429.88,0.22,1.03
4027.22,0.24,0.72
460.36,0.16,0.98
128.72,0.17,1.27
2568.73,0.24,0.75
4874.78,0.21,0.72
96.88,0.13,1.32
2379.54,0.22,0.76
2032.84,0.21,0.74
1451.06,0.23,0.91
2623.12,0.28,0.61
87.05,0.17,1.08
622.54,0.24,0.92
92.75,0.19,1.07
3268.99,0.23,0.72
264.27,0.18,1.04
915.63,0.18,0.99
2948.58,0.24,0.66
1077.19,0.17,0.97
2315.14,0.2,0.8
3134.19,0.25,0.69
2681.16,0.29,0.58
2253.86,0.25,0.82
3291.94,0.22,0.79
127.12,0.18,1.1
69.73,0.14,1.34
3281.34,0.26,0.74
137.97,0.18,1.04
1449.51,0.2,0.88
319.77,0.14,1.16
3423.13,0.27,0.72
559.73,0.2,0.75
4811.46,0.21,0.77
2695.28,0.23,0.65
910.46,0.22,0.89
571.16,0.21,0.88
1051.26,0.21,0.93
360.55,0.2,1.04
1846.95,0.24,0.89
1110.44,0.2,0.87
2537.74,0.25,0.69
342.76,0.17,1.06
115.28,0.14,1.4
219.79,0.14,1.18
3577,0.22,0.73
2520.81,0.25,0.76
1326.32,0.16,1.03
4247.21,0.23,0.7
1270.62,0.22,0.91
3208.28,0.25,0.8
387.98,0.19,1.07
196.73,0.16,1.13
2767.42,0.28,0.64
148.4,0.18,1.08
2789.48,0.24,0.73
244.36,0.16,1.09
100.16,0.17,1.14
3280.47,0.25,0.71
158.91,0.15,1.15
298.86,0.24,0.89
690.39,0.17,1.07
1385.25,0.2,1.02
325.32,0.15,1.14
3266.14,0.25,0.73
3977.24,0.23,0.74
77.6,0.17,1.26
2322.92,0.26,0.68
372.34,0.21,0.85
732.57,0.2,0.95
287.26,0.17,0.89
656.84,0.19,0.98
819.02,0.2,1.04
4187.68,0.29,0.62
267.82,0.2,1.01
2824.64,0.25,0.81
1234.3,0.24,0.79
4535.18,0.28,0.61
2985.17,0.21,0.86
889.72,0.2,0.89
1853.34,0.22,0.86
3052.46,0.21,0.95
707.36,0.22,0.86
4431.49,0.29,0.63
1725.11,0.26,0.74
3275.98,0.27,0.67
4403.99,0.29,0.62
2858.78,0.24,0.66
2895.17,0.29,0.55
2580.8,0.26,0.71
1361.12,0.18,1.08
1452.34,0.21,0.87
134.83,0.12,1.29
313.44,0.16,1.3
1178.41,0.24,0.79
275.12,0.2,0.98
958.72,0.25,0.82
3318.92,0.21,0.79
785.25,0.19,1.02
4520.2,0.25,0.62
3920.85,0.26,0.63
143.86,0.16,1.2
651.33,0.21,0.83
4579.81,0.24,0.65
864.84,0.2,0.98
270.57,0.18,0.93
441.7,0.22,0.89
1376.5,0.23,0.83
142.49,0.13,1.34
2318.02,0.21,0.76
378.61,0.17,0.95
3276.24,0.23,0.74
3297.18,0.26,0.66
4385.88,0.25,0.58
4617.61,0.23,0.68
1103.94,0.2,0.87
2123.62,0.21,0.68
112.51,0.15,1.22
499.7,0.23,0.91
1014.56,0.18,0.93
207.9,0.18,1.09
242.7,0.19,1.05
1190.97,0.23,0.8
172.85,0.15,1.17
159.95,0.18,1.05
873.07,0.16,0.98
781.38,0.22,0.93
3485.2,0.26,0.62
899.55,0.24,0.85
278.17,0.16,1.11
503.18,0.2,0.92
1294.31,0.19,0.99
249.01,0.14,1.15
896.52,0.16,0.98
1086.1,0.21,0.8
165.39,0.17,1.13
1351.34,0.26,0.74
262.22,0.14,1.14
1111.49,0.23,0.82
336.02,0.21,1.13
3717.39,0.28,0.55
1213.22,0.23,0.85
39.5,0.19,1.14
1285.84,0.22,0.9
243.15,0.15,1.14
106.02,0.17,1.08
2407.65,0.24,0.77
4352.08,0.26,0.65
1415.72,0.2,0.87
27.57,0.13,1.34
39.85,0.17,1.23
788.8,0.2,1.05
1165.3,0.19,1.03
820.99,0.19,1
109.09,0.12,1.33
584.12,0.21,0.96
249.06,0.2,1.04
2458.76,0.27,0.64
439.3,0.17,1.02
2841.84,0.23,0.7
1099.62,0.18,0.92
360.81,0.17,1.07
22.49,0.16,1.27
71.24,0.16,1.22
2206.36,0.2,0.81
972.49,0.24,0.84
237.14,0.16,1.12
356.25,0.17,1.06
1201.71,0.24,0.85
2508.43,0.2,0.78
254.88,0.22,0.88
3439.96,0.27,0.65
388.73,0.18,1.11
931.94,0.22,0.93
69.01,0.16,1.24
2952.94,0.22,0.7
182.43,0.17,1.08
3905.86,0.23,0.78
3309.91,0.26,0.66
234.27,0.22,0.97
4519.87,0.29,0.62
248.83,0.17,1.28
4817.33,0.24,0.57
2370.37,0.19,0.82
1932.86,0.25,0.66
4509.08,0.23,0.69
2784.01,0.27,0.61
4528.07,0.22,0.72
2151.36,0.27,0.68
2556.35,0.23,0.8
1081.59,0.25,0.73
1218.2,0.2,0.94
3334.52,0.21,0.85
4178.77,0.24,0.71
80.71,0.14,1.3
2177.7,0.22,0.78
713.67,0.18,1
2346.14,0.22,0.7
2331.3,0.26,0.63
1311.74,0.23,0.81
82.98,0.15,1.27
1877.84,0.27,0.71
1197.94,0.24,0.83
515.67,0.17,0.9
162.33,0.14,1.18
385.8,0.16,1.04
2588.18,0.24,0.63
3137.21,0.25,0.64
89.47,0.17,1.2
2282.79,0.27,0.65
139.86,0.18,1.17
3939.45,0.22,0.82
3172.3,0.23,0.9
554.16,0.2,0.95
334.56,0.18,1.1
230.24,0.19,1.07
991.31,0.22,0.97
4604.48,0.29,0.56
721.72,0.16,1.02
409.66,0.19,0.95
316.13,0.15,1.1
2766.32,0.25,0.66
1257.1,0.2,0.82
61.14,0.14,1.19
129.93,0.16,1.14
2068.45,0.22,0.74
1335.09,0.17,0.99
200.16,0.2,1.04
892.22,0.19,1.11
4455.8,0.27,0.63
2238.93,0.29,0.47
492.16,0.17,1.02
934.17,0.22,0.92
1887.11,0.22,0.85
3174.93,0.26,0.69
91.13,0.19,1.11
256.31,0.14,1.06
1015.4,0.19,0.93
279.57,0.18,1.11
3511.25,0.27,0.64
807.38,0.2,0.9
3623.55,0.23,0.61
342.08,0.14,1.07
500.77,0.23,0.89
1582.41,0.19,0.88
1688.24,0.2,0.89
2827.01,0.28,0.52
3816.43,0.25,0.66
2603.83,0.26,0.85
330.33,0.24,0.89
4178.61,0.23,0.71
566.73,0.23,0.9
323.47,0.22,0.95
3380.04,0.24,0.65
3082.73,0.27,0.63
4034.08,0.22,0.74
3119.28,0.26,0.61
936.26,0.22,0.96
426.22,0.19,0.89
508.83,0.18,0.97
97.15,0.16,1.22
933.43,0.17,1
2989.93,0.25,0.75
268.77,0.18,1.06
2429.51,0.25,0.72
813.92,0.22,0.91
4323.74,0.23,0.71
2862.71,0.24,0.72
714.74,0.15,1.04
352.11,0.21,1.03
69.16,0.16,1.25
3215.9,0.25,0.64
1116.76,0.19,0.97
1452.53,0.26,0.64
225.18,0.16,1.04
809.36,0.17,1.23
1445.67,0.2,0.92
1342.59,0.23,0.88
3069.42,0.25,0.68
392.79,0.14,1.05
627.94,0.22,0.88
2095.02,0.23,0.75
309.03,0.14,1.14
1109.84,0.17,0.99
1182.45,0.21,0.9
335.03,0.16,1.09
899.87,0.24,0.85
1152.04,0.2,0.99
356.5,0.17,1.01
4905.07,0.24,0.71
931.56,0.19,0.88
122.53,0.2,1.06
2021.9,0.27,0.62
1524.98,0.25,0.71
2561.9,0.27,0.6
1005.42,0.2,1
356.2,0.16,1.08
1180.51,0.23,0.93
25.87,0.13,1.33
2749.62,0.27,0.53
204.5,0.19,1.13
4116.2,0.26,0.62
753.8,0.17,1.04
237.98,0.16,1.07
1392.92,0.26,0.8
2578.59,0.27,0.73
1092,0.22,0.81
962.64,0.17,1.01
263.95,0.16,1.11
2035.53,0.25,0.78
3512.42,0.24,0.84
95.81,0.15,1.24
4784.43,0.24,0.68
2706.86,0.25,0.6
4377.64,0.25,0.78
4092.59,0.27,0.68
126.19,0.17,1.21
2728.88,0.23,0.76
243.81,0.19,1.08
153.32,0.19,1.08
2494.07,0.2,0.89
44.51,0.16,1.17
111.32,0.14,1.25
2718.8,0.24,0.65
651.1,0.18,1
979.75,0.17,0.99
288.3,0.19,1.11
4853.46,0.24,0.68
169.53,0.19,1.06
4376.05,0.22,0.74
838.45,0.2,0.94
126.29,0.17,1.11
4304.86,0.22,0.71
2855.78,0.21,0.74
2073.82,0.23,0.77
692.9,0.2,0.97
652.44,0.24,0.75
35.12,0.17,1.23
335.31,0.14,1.17
265.39,0.2,1.06
1454.84,0.25,0.76
259.38,0.21,0.98
1386.03,0.21,0.98
80.9,0.19,1.13
3714.74,0.24,0.65
238.15,0.16,1.09
326.78,0.18,1.06
1426.02,0.16,0.83
4139.96,0.22,0.75
670.23,0.17,0.98
3277.27,0.21,0.86
624.4,0.18,0.99
79.68,0.13,1.27
254.63,0.16,1.03
2783.18,0.25,0.67
3384.27,0.23,0.69
2730,0.21,0.78
616.75,0.24,0.94
2332.61,0.29,0.58
2797.96,0.24,0.74
1266.36,0.18,0.86
316.25,0.19,0.93
2556.39,0.25,0.63
757.06,0.2,0.91
266.16,0.16,1.09
2653.35,0.23,0.73
1208.8,0.2,0.93
976.42,0.21,0.89
992.88,0.24,0.75
348.41,0.14,1.16
613.97,0.22,0.85
312.09,0.17,1.06
2019.78,0.22,0.83
1823.4,0.2,0.83
211.38,0.17,0.96
4454.76,0.25,0.71
2804.72,0.25,0.55
2898.55,0.25,0.68
3842.56,0.22,0.73
35.26,0.14,1.28
245.92,0.15,1.12
1469.01,0.27,0.72
4346.3,0.28,0.6
94.66,0.14,1.3
2114.62,0.26,0.7
378.61,0.18,1.16
166.14,0.19,0.98
155.69,0.18,1.03
140.3,0.13,1.23
1725.28,0.26,0.87
260.78,0.19,1.12
510.36,0.17,1.05
305.24,0.18,1.03
148.16,0.18,1.15
43.25,0.14,1.31
2864.4,0.25,0.64
396.86,0.19,0.98
3369.26,0.25,0.72
1027.47,0.18,0.97
3944.46,0.24,0.58
2274.01,0.26,0.69
2826.32,0.21,0.8
3435.45,0.25,0.72
267.77,0.17,1.1
1343.29,0.24,0.8
304.62,0.19,1.03
4538.02,0.24,0.66
3600.37,0.27,0.61
3349.81,0.21,0.8
815.81,0.22,0.89
358.16,0.17,1.09
2685.99,0.23,0.75
234.39,0.21,1.14
4501.44,0.28,0.61
4592.51,0.26,0.67
917.71,0.19,0.87
601.26,0.23,0.88
177.31,0.16,1.23
170.15,0.19,1.07
23.12,0.14,1.31
337.44,0.22,0.95
2343.22,0.23,0.84
4305.49,0.27,0.67
2801.47,0.27,0.76
593.89,0.19,0.96
485.86,0.18,0.94
1298.65,0.21,0.89
3266.91,0.24,0.73
3402.28,0.27,0.59
2074.13,0.23,0.71
4162.53,0.27,0.64
366.54,0.22,0.94
163.78,0.14,1.37
343.16,0.18,1.05
134.07,0.17,1.14
271.99,0.15,1.1
251.07,0.17,1.15
2951.85,0.24,0.69
2291.81,0.24,0.81
4997.44,0.26,0.65
2558.55,0.23,0.8
3100.02,0.21,0.84
769.49,0.21,0.76
112.28,0.13,1.21
110.96,0.16,1.21
1279.84,0.26,0.85
3090.46,0.23,0.69
96.84,0.16,1.23
829.89,0.21,0.88
267.46,0.19,1.03
40.08,0.12,1.38
203.98,0.17,1.08
675.82,0.17,1.05
2168.52,0.22,0.87
2120.66,0.26,0.63
1398.72,0.17,1.1
2161.21,0.24,0.8
1213.18,0.17,0.97
1202.19,0.21,0.81
388.88,0.16,1.19
3122.06,0.28,0.67
133.93,0.19,1.07
4378.21,0.28,0.68
107.76,0.16,1.17
380.72,0.14,1.12
68.26,0.17,1.21
2137.76,0.21,0.8
258.34,0.22,0.96
4152.15,0.24,0.64
1219.43,0.17,1.03
228.14,0.2,1.01
1310.54,0.18,0.93
2922.52,0.23,0.72
281.65,0.17,1.02
115.57,0.17,1.11
2352.78,0.26,0.67
1388.28,0.22,0.85
1321.83,0.22,0.86
1303.47,0.2,0.81
1460.69,0.19,0.86
824.92,0.2,0.84
1329.94,0.22,0.89
110.23,0.13,1.27
385,0.17,0.99
147.51,0.13,1.31
382.02,0.15,1.15
278.12,0.21,0.85
2368.48,0.25,0.73
1050.24,0.21,0.81
2614.49,0.24,0.74
4377.82,0.23,0.7
329.71,0.19,0.99
261.94,0.16,1.01
160.57,0.19,1.03
740.35,0.22,0.99
781.69,0.22,0.87
299.15,0.21,0.92
210.57,0.2,1.01
2894.61,0.27,0.61
127.32,0.17,1.15
90.5,0.16,1.15
121.51,0.16,1.14
1289.72,0.24,0.78
551.02,0.18,1
353.37,0.18,0.99
2137.6,0.28,0.68
4459.35,0.22,0.7
2712.55,0.26,0.58
4371.67,0.22,0.81
642.45,0.17,0.98
2690.61,0.24,0.78
3940.98,0.24,0.72
3587.29,0.29,0.66
4713.65,0.27,0.63
340.68,0.14,1.21
3467.26,0.23,0.77
4129.34,0.26,0.64
1375.33,0.16,1.07
4978.34,0.26,0.61
4233.99,0.21,0.75
1368.89,0.23,0.8
118.46,0.12,1.29
92.29,0.17,1.16
393.93,0.15,1.2
297.05,0.18,1.04
634.93,0.18,0.92
371.36,0.22,0.93
85.95,0.15,1.23
122.36,0.15,1.17
1084.7,0.22,0.88
4741.65,0.22,0.67
2815.71,0.24,0.68
1323.64,0.21,0.84
4392.55,0.26,0.65
1068.57,0.17,1.13
123.76,0.18,1.18
1151.65,0.18,0.98
191.51,0.2,1.07
1421.93,0.22,0.88
299.23,0.16,1.18
4986.55,0.23,0.67
1009.63,0.24,0.87
2116.92,0.22,0.74
2188.65,0.26,0.6
3139.41,0.25,0.67
1338.89,0.21,0.98
4900.18,0.23,0.73
1538.48,0.21,0.87
703.35,0.18,1.01
782.17,0.24,0.78
515.4,0.24,0.89
1228.54,0.22,0.9
1030.04,0.16,1
205.34,0.17,1.07
927.24,0.16,0.99
123.11,0.15,1.13
1264.1,0.2,0.81
314.76,0.15,1.15
3989.29,0.25,0.5
1419.12,0.24,0.87
4175.7,0.22,0.75
1089.94,0.19,0.99
4873.71,0.22,0.69
840.83,0.23,0.87
105.98,0.18,1.12
622.61,0.18,0.91
770.52,0.18,0.93
644.01,0.18,0.97
95.67,0.16,1.26
641.94,0.21,0.91
208.18,0.15,1.09
204.79,0.14,1.08
104.25,0.17,1.18
2112.61,0.24,0.78
494.64,0.16,0.93
866.04,0.19,0.84
810.15,0.2,0.91
1845.09,0.22,0.61
2930.09,0.24,0.62
2106.5,0.23,0.67
912.19,0.24,0.77
1038.71,0.23,0.97
154.38,0.18,1.11
968.76,0.21,0.9
45.01,0.15,1.3
2260.44,0.22,0.69
197.54,0.2,1.04
4932.14,0.23,0.69
355.25,0.17,1.1
236.63,0.15,1.13
2990.96,0.25,0.83
352.28,0.16,1.15
366.09,0.19,0.98
2385.43,0.23,0.76
276.9,0.16,1.05
3565.71,0.21,0.77
3171.46,0.22,0.81
207.86,0.15,1.17
2870.21,0.26,0.66
1265.35,0.19,1.12
1413.66,0.19,0.89
1045.84,0.22,0.91
340.94,0.17,1.14
4508.93,0.3,0.5
2788.95,0.22,0.81
1054.43,0.21,0.9
2657.36,0.22,0.8
1266.5,0.22,0.87
1306.66,0.22,0.79
3360.25,0.27,0.67
394.15,0.16,1.21
721.11,0.21,0.83
172.81,0.15,1.27
96.24,0.19,1.15
3476.09,0.23,0.77
3785.79,0.23,0.66
122.45,0.18,1.14
112.36,0.13,1.21
38.7,0.17,1.19
1255.32,0.24,0.9
218.16,0.2,1.06
1226.84,0.19,0.95
1417.96,0.21,0.89
3086.93,0.28,0.6
406.41,0.16,1.04
4632.98,0.24,0.68
3347.86,0.21,0.82
822.1,0.19,0.87
1174.8,0.23,0.97
119.22,0.16,1.19
799.64,0.22,0.88
262.72,0.17,1.07
69.68,0.17,1.17
719.72,0.19,1.03
994.9,0.17,1.13
1227.94,0.2,0.97
1451.47,0.21,0.82
485.24,0.22,0.93
1399.09,0.23,0.86
130.04,0.12,1.37
1152.1,0.2,0.93
3841.61,0.27,0.67
2974.21,0.19,0.72
954.72,0.18,1
185.5,0.19,1.08
2450.84,0.27,0.63
761.26,0.19,0.97
778.34,0.19,0.92
3480.33,0.27,0.67
1094.63,0.24,0.87
50.24,0.14,1.32
147.25,0.12,1.02
4210.6,0.27,0.66
2042.58,0.21,0.78
4096.04,0.28,0.61
2822.54,0.22,0.72
2520.74,0.24,0.69
2251.42,0.22,0.8
1041.2,0.26,0.62
857.98,0.18,0.92
330.05,0.17,1.11
41.39,0.13,1.31
767.04,0.21,0.91
456.27,0.23,0.93
77.29,0.17,1.21
3952,0.25,0.7
227.35,0.17,1.05
1253.42,0.22,0.85
311.67,0.15,1.12
277.59,0.24,0.95
3659.98,0.25,0.69
338.66,0.21,1.06
4246.15,0.28,0.55
3220.65,0.23,0.61
465.4,0.17,1.02
1379.15,0.17,0.99
3384.64,0.22,0.93
735.61,0.21,0.96
3304.26,0.24,0.7
62.41,0.15,1.21
1044.21,0.21,0.9
394.76,0.17,1.06
82.09,0.15,1.3
379.99,0.19,0.95
3179.29,0.28,0.61
2438.39,0.25,0.87
4875.72,0.25,0.67
1164.03,0.17,0.96
2226.02,0.22,0.82
219.73,0.23,0.95
23.73,0.16,1.19
2016.79,0.25,0.66
947.5,0.19,0.97
1629.04,0.19,0.88
3226.14,0.21,0.79
2581.42,0.2,0.91
517.67,0.19,1.14
75.1,0.15,1.28
2765.35,0.25,0.76
92.57,0.13,1.27
915.26,0.2,0.95
303.64,0.15,1.19
317.91,0.16,1.09
484.45,0.22,0.96
1819.38,0.27,0.73
798.19,0.24,0.9
3993.62,0.24,0.68
1487.44,0.21,0.92
48.92,0.17,1.2
3053.3,0.27,0.64
3931.55,0.28,0.61
875.88,0.21,0.94
2242.36,0.25,0.64
412.17,0.17,0.96
4100.43,0.23,0.74
4877.56,0.26,0.7
367.35,0.17,1.13
481.4,0.2,0.78
812.91,0.24,0.78
1571.12,0.19,0.94
996.72,0.19,0.98
312.47,0.18,1.03
2315.13,0.21,0.76
191.49,0.15,1.15
632.85,0.21,0.95
349.54,0.17,1.02
3048.53,0.27,0.79
997.07,0.23,0.81
651.56,0.17,0.98
1580.46,0.23,0.78
3172.45,0.25,0.76
1335.97,0.21,0.83
607.98,0.19,0.96
2540.93,0.21,0.8
55.25,0.14,1.33
261.21,0.19,1.04
2738.08,0.24,0.72
1074.14,0.17,1
4454.93,0.23,0.73
197.3,0.17,1.1
39.72,0.16,1.21
4741.64,0.24,0.66
897.82,0.19,0.96
26.45,0.17,1.28
3771.98,0.27,0.73
224.8,0.15,1.16
434.06,0.18,1.05
109.58,0.19,1.1
433.76,0.24,0.89
86.58,0.18,1.11
272.9,0.16,1.15
507.67,0.21,0.92
28.37,0.16,1.32
2460.05,0.28,0.72
1073.67,0.2,0.93
3351.92,0.24,0.73
1086.33,0.16,0.97
2674.05,0.29,0.7
524.6,0.16,1.01
4911.78,0.29,0.55
88.89,0.19,1.1
991.32,0.19,0.99
2251.3,0.24,0.78
231.37,0.15,1.15
94.93,0.17,1.13
1206.37,0.19,0.93
3361.09,0.25,0.72
2899.17,0.25,0.72
2746.86,0.27,0.66
3464.42,0.26,0.68
332.1,0.16,1.15
2944.39,0.23,0.71
4269.88,0.28,0.61
3566.24,0.21,0.73
560.98,0.23,0.93
252.31,0.18,1.05
345.53,0.16,1.12
188.79,0.16,1.05
3604.14,0.23,0.69
210.51,0.19,1.15
145.41,0.16,1.25
1049.39,0.19,0.88
918.91,0.23,0.82
125.58,0.12,1.25
363.86,0.17,1.04
260.83,0.17,1.16
1309.48,0.23,0.88
265.7,0.18,1.1
129.42,0.16,1.1
3371.7,0.26,0.74
224.85,0.18,1.1
3219.69,0.26,0.7
180.81,0.2,1.15
193.68,0.15,1.15
1244.41,0.18,0.85
156.93,0.2,1.03
